10176
(402775595, -83.2087, -397.855)
(402775596, -73.1009, -403.667)
(402775597, -52.1107, -404.832)
(402775598, -26.0016, -401.625)
(402775628, 16.7313, -378.718)
(402775629, 10.827, -375.043)
(402775630, -16.8562, -367.976)
(402775631, -28.099, -348.191)
(402775632, -35.2673, -329.69)
(402775633, -46.5663, -272.593)
(402775648, 222.937, -309.597)
(402775649, 166.576, -411.811)
(402775650, 187.645, -460.244)
(402775654, 546.171, -486.686)
(402775655, 645.073, -274.678)
(402775656, 613.03, -320.762)
(402775657, 598.11, -322.762)
(402775663, 525.649, -421.865)
(402775664, 510.855, -439.063)
(402775665, 486.954, -451.433)
(402775666, 467.565, -456.414)
(402775786, 797.075, -339.923)
(402775794, 602.513, -333.047)
(402775905, 407.386, -428.402)
(402776153, -70.0436, -627.882)
(402776154, -63.9819, -664.494)
(402776155, -62.2114, -680.107)
(402776175, -87.5999, -596.098)
(402776180, -117.35, -505.733)
(402776181, -95.4709, -564.778)
(402776182, -64.175, -427.68)
(402776183, -65.2552, -405.947)
(402776192, -53.8077, -451.187)
(454082240, 928.365, -641.072)
(454082243, 912.964, -689.823)
(454082245, 912.844, -736.727)
(454082246, 914.326, -783.325)
(454082247, 913.441, -812.514)
(454082371, 902.529, -818.263)
(454082375, 827.737, -812.136)
(454868994, 820.221, -581.278)
(454869006, 812.636, -590.011)
(454869011, 794.431, -601.86)
(454869016, 783.161, -603.802)
(454869022, 759.297, -597.511)
(454869028, 748.054, -589.217)
(454869035, 706.12, -557.94)
(454869039, 686.113, -550.868)
(454869044, 567.916, -540.089)
(454869048, 560.365, -540.395)
(454869052, 548, -537.001)
(454869055, 510.287, -523.069)
(454869061, 482.146, -512.864)
(454869065, 451.785, -507.963)
(454869068, 431.239, -499.993)
(454869072, 412.901, -486.075)
(454869085, 819.341, -548.943)
(454878984, 461.986, -509.478)
(454878991, 401.587, -509.431)
(454878996, 472.87, -634.438)
(454878997, 475.879, -644.496)
(454879006, 474.551, -657.212)
(454879009, 450.162, -712.945)
(454879013, 458.659, -740.589)
(454879017, 459.201, -794.606)
(454879019, 455.041, -817.125)
(454879026, 418.158, -629.907)
(454879030, 396.423, -688.595)
(454879032, 400.405, -700.858)
(454879034, 442.378, -716.006)
(454883757, 463.128, -616.957)
(454883760, 479.205, -605.861)
(454883765, 480.056, -600.152)
(454883767, 461.637, -562.844)
(454883771, 450.148, -538.509)
(454883774, 445.955, -532.441)
(454883776, 448.099, -507.299)
(454883800, 353.518, -728.302)
(454883805, 354.952, -719.293)
(454883806, 351.275, -712.08)
(454883809, 343.573, -677.173)
(454883812, 354.95, -595.567)
(454883822, 363.608, -577.35)
(454883830, 397.686, -487.732)
(454883834, 391.542, -452.164)
(454888166, 535.386, -610.83)
(454888169, 590.705, -661.906)
(454888172, 596.608, -699.95)
(454888175, 595.016, -707.216)
(454888177, 586.835, -711.622)
(454888182, 578.867, -708.444)
(454888184, 571.723, -694.328)
(454888187, 700.704, -680.887)
(454888191, 698.203, -702.578)
(454888193, 596.326, -607.121)
(454888194, 656.534, -615.937)
(454888195, 665.642, -560.339)
(454891192, 558.699, -814.34)
(454891222, 492.163, -650.272)
(454891226, 508.113, -664.932)
(454891232, 524.586, -704.645)
(454891237, 538.572, -732.434)
(454891242, 539.399, -753.235)
(454891247, 554.823, -803.609)
(454893307, 518.764, -687.582)
(454893310, 545.564, -671.871)
(454893325, 537.008, -657.161)
(454893334, 556.588, -692.955)
(454895458, 556.218, -745.155)
(454895459, 567.472, -752.061)
(454895460, 566.91, -784.99)
(454906042, 766.899, -636.392)
(454906051, 779.676, -637.875)
(454906059, 786.62, -643.321)
(454906066, 796.996, -670.479)
(454906075, 807.611, -681.34)
(454906082, 813.304, -684.382)
(454906133, 787.458, -785.949)
(454906145, 787.201, -760.761)
(454906158, 798.145, -724.383)
(454906184, 839.165, -660.391)
(454906196, 892.323, -664.348)
(454906210, 881.944, -692.919)
(454906222, 903.514, -637.883)
(454906230, 907.835, -635.523)
